Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
U28        PCAL9539AHF,128                              TopLayer    QFN-EP_24                        2450.000      775.000       270      "I/O Expander with interrupt and reset 16 I²C 400kHz 24-HWQFN (4x4)"                                                                                 
U27        "MT25QL256ABA1EW9-0SIT TR"                   BottomLayer W-PDFN-8_8X6_P127                1275.000      1950.000      90       "256Mb, 3V, Multiple I/O Serial Flash Memory, Quad/Dual"                                                                                             
U26        STM32G473RET6                                TopLayer    LQFP64-10X10MM                   1725.000      1700.000      180      "ARM® Cortex®-M4 STM32G4 Microcontroller IC 32-Bit 170MHz 512KB (512K x 8) FLASH 64-LQFP (10x10)"                                                    
U24        TPS61169DCKR                                 TopLayer    DCK0005A_L                       3685.000      1075.000      90       "LED Driver IC 1 Output DC DC Regulator Step-Up (Boost) PWM Dimming 1.8A (Switch) SC-70-5"                                                           
U22        CP2102N-A02-GQFN28R                          BottomLayer QFN28_5X5                        360.000       1450.000      90       "USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)"                                                                                        
U21        BQ24392RSER                                  BottomLayer RSE10_TEX                        500.000       975.000       270      "Battery Multi-Function Controller IC  10-UQFN (2.0x1.5)"                                                                                            
U19        TXB0108DQSR                                  TopLayer    DQS20_TEX                        2525.000      1650.000      180      "Voltage Level Translator Bidirectional 1 Circuit 8 Channel 100Mbps 20-USON (4x2)"                                                                   
U18        TXB0108DQSR                                  TopLayer    DQS20_TEX                        3075.000      1375.000      270      "Voltage Level Translator Bidirectional 1 Circuit 8 Channel 100Mbps 20-USON (4x2)"                                                                   
U17        TS3USB3031RMGR                               TopLayer    RMG12_TEX                        500.000       1225.000      180      "USB Switch IC 1 Channel 12-WQFN (1.8x1.8)"                                                                                                          
U16        TS3USB3031RMGR                               TopLayer    RMG12_TEX                        3125.000      1175.000      180      "USB Switch IC 1 Channel 12-WQFN (1.8x1.8)"                                                                                                          
U15        TPS6209733RWKR                               TopLayer    RWK11                            1225.000      1400.000      180      "Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 2A 11-VFQFN"                                                                               
U14        TPS61023DRLT                                 TopLayer    SOT50P160X60-6N                  3600.000      1325.000      360      "Boost Switching Regulator IC Positive Adjustable 2.2V 1 Output 3A SOT-563, SOT-666"                                                                 
U37        TSB711AILT                                   TopLayer    SOT-23-5                         1274.994      1025.000      90       "General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5"                                                                                          
U36        TPS55340RTET                                 TopLayer    RTE0016C                         1500.000      1000.000      180      "Boost Switching Regulator IC Positive, Isolation Capable Adjustable 2.9V 1 Output 5.25A (Switch) 16-WFQFN Exposed Pad"                              
U13        STSPIN220                                    BottomLayer VFQFPN-16_STM                    2075.000      425.000       180      "Bipolar Motor Driver Power MOSFET Step/Direction 16-VFQFPN (3x3)"                                                                                   
U12        TPD3F303DPVR                                 BottomLayer DPV8_1P7X0P4                     675.000       2500.000      270      "RC (Pi) EMI Filter 2nd Order Low Pass 3 Channel R = 47Ohms, 100Ohms, C = 20pF  8-UFDFN Exposed Pad"                                                 
U8         ECMF02-2AMX6                                 TopLayer    QFN-6L                           2600.000      2050.000      180      "2 Line Common Mode Choke Surface Mount  200mA DCR 2.5Ohm"                                                                                           
U11        TPD3F303DPVR                                 BottomLayer DPV8_1P7X0P4                     1075.000      2500.000      270      "RC (Pi) EMI Filter 2nd Order Low Pass 3 Channel R = 47Ohms, 100Ohms, C = 20pF  8-UFDFN Exposed Pad"                                                 
U3         NUF4401MNT1G                                 TopLayer    DFN8                             875.000       450.000       90       "EMI filter w/ ESD prot. NUF4401MN 12mm r"                                                                                                           
U2         TPD3F303DPVR                                 BottomLayer DPV8_1P7X0P4                     1650.000      300.000       90       "RC (Pi) EMI Filter 2nd Order Low Pass 3 Channel R = 47Ohms, 100Ohms, C = 20pF  8-UFDFN Exposed Pad"                                                 
X8         JTAG                                         BottomLayer TC2050-IDC-NL                    2050.000      2150.000      90       "A connection to Plug-Of-Nails™ Adapter Cable"                                                                                                       
R158       "RES SMD 100 OHM 1% 1/2W 0805"               TopLayer    R0805                            1890.000      2615.000      90       "100 Ohms ±1% 0.5W, 1/2W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"                                        
R157       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            2120.000      2555.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R156       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1480.000      2650.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R155       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1400.000      2650.000      90       "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R154       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1440.000      2650.000      90       "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R144       "RES ARRAY 8 RES 100K OHM 1606"              BottomLayer YAG_YC248                        1025.000      1060.000      270      "100k Ohm ±5% 62.5mW Power Per Element Isolated  Resistor Network/Array ±200ppm/°C 1606, Convex, Long Side Terminals"                                
R143       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1325.000      2110.000      180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R142       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1300.000      1715.000      180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
